split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
3,natural_prevalence,prm:llama31_8b_prm_deepseek,5,0.642,-4.54,175,6.22,0.206,0.156,0.050,0.143,0.053,0.091
3,natural_prevalence,prm:math_shepherd_mistral_7b,1,0.336,-0.92,92,14.72,0.127,0.164,0.000,0.071,0.054,0.017
3,natural_prevalence,prm:math_shepherd_mistral_7b,3,0.336,-0.92,92,14.72,0.127,0.164,0.000,0.071,0.054,0.017
3,natural_prevalence,prm:math_shepherd_mistral_7b,5,0.336,-0.92,92,14.72,0.127,0.164,0.000,0.071,0.054,0.017
3,natural_prevalence,prm:qwen25_math_prm_7b,1,0.336,1.48,92,-10.25,0.431,0.230,0.202,0.232,0.082,0.150
3,natural_prevalence,prm:qwen25_math_prm_7b,3,0.336,1.48,92,-10.25,0.431,0.230,0.202,0.232,0.082,0.150
3,natural_prevalence,prm:qwen25_math_prm_7b,5,0.459,-4.04,125,-4.51,0.262,0.173,0.089,0.197,0.058,0.139
3,natural_prevalence,predictor_D,1,0.214,17.21,58,15.95,0.086,0.124,0.000,0.052,0.044,0.008
3,natural_prevalence,predictor_D,3,0.245,-1.87,67,17.54,0.075,0.127,0.000,0.045,0.044,0.001
3,natural_prevalence,predictor_D,5,0.245,-1.87,67,17.54,0.075,0.127,0.000,0.045,0.044,0.001
3,natural_prevalence,predictor_E,1,0.489,-0.92,134,30.67,0.049,0.195,0.000,0.044,0.064,0.000
3,natural_prevalence,predictor_E,3,0.489,-0.92,134,30.67,0.049,0.195,0.000,0.044,0.064,0.000
3,natural_prevalence,predictor_E,5,0.550,-4.78,150,23.41,0.120,0.212,0.000,0.090,0.068,0.022
4,balanced_cohort,random,1,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,random,3,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,random,5,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,rating_first,1,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,rating_first,3,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,rating_first,5,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,harmful_first,1,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,harmful_first,3,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,harmful_first,5,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,intersection_first,1,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,intersection_first,3,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
4,balanced_cohort,intersection_first,5,1.000,0.33,320,9.84,0.134,0.134,0.001,0.103,0.046,0.057
